[00:00:00.407 --> 00:00:00.887]  Your debt.
[00:00:01.008 --> 00:00:01.508]  Call 1-800-943-0300.
[00:00:01.528 --> 00:00:01.588]  1-800-943-0300.
[00:00:01.608 --> 00:00:01.728]  1-800-943-0300.
[00:00:01.748 --> 00:00:05.191]  Prepare yourself for a talk radio that will bury your experience like no other.
[00:00:05.211 --> 00:00:06.652]  Strap yourselves in and hold on.
[00:00:06.712 --> 00:00:07.693]  He stands for truth.
[00:00:07.753 --> 00:00:10.475]  Defending our borders.
[00:00:10.495 --> 00:00:11.837]  He stands for justice.
[00:00:11.877 --> 00:00:14.098]  Fighting the American Union.
[00:00:14.138 --> 00:00:15.860]  He stands for what's right.
[00:00:27.185 --> 00:00:31.648]  This is explosive top ratings.
[00:00:31.708 --> 00:00:35.290]  This is the Alex Jones Show.
[00:00:35.470 --> 00:00:38.772]  Call Alex now toll free 877-590-5525.
[00:00:39.432 --> 00:00:41.753]  Now live from Austin, Texas.
[00:00:42.634 --> 00:00:44.175]  Here's Alex Jones.
[00:00:47.237 --> 00:00:48.437]  Welcome ladies and gentlemen.
[00:00:48.497 --> 00:00:52.780]  I'm glad that you have joined us on this live Sunday edition.
[00:00:52.920 --> 00:00:54.461]  Every Sunday I'm here.
[00:00:55.726 --> 00:00:56.566]  From 4 to 6 p.m.
[00:00:56.606 --> 00:01:00.127]  Central Standard Time as we syndicate out across the land.
[00:01:02.668 --> 00:01:13.571]  We'll be covering a lot of important news around the world and here in the United States as well as our home here in Central Texas where this broadcast originates from the geographical part of Texas.
[00:01:14.506 --> 00:01:16.547]  Big developments this week in 9-11 truth.
[00:01:16.567 --> 00:01:27.850]  For those that don't know what that is, that's the majority of the American people now not believing the official 9-11 story, and a majority of that majority believing it's a total inside job carried out by criminal elements of our own government.
[00:01:28.090 --> 00:01:35.212]  The award-winning director and producer David Lynch, hundreds of major TV shows, Twin Peaks, films like The Elephant Man,
[00:01:35.852 --> 00:01:36.813]  It just goes on and on.
[00:01:36.993 --> 00:01:39.816]  He's gone public questioning the official 9-11 story.
[00:01:39.836 --> 00:01:42.638]  We'll play about two minutes of that coming up in the next hour.
[00:01:42.779 --> 00:01:52.167]  Also, actor James Brolin, who's been in hundreds of movies and television programs on The View earlier this week on national television, questioned the official 9-11 story.
[00:01:52.187 --> 00:01:55.310]  We'll be covering those developments for you as well.
[00:01:56.131 --> 00:01:59.253]  A parting shot from Congresswoman Cynthia McKinney.
[00:01:59.574 --> 00:02:01.896]  She introduced articles of impeachment
[00:02:02.736 --> 00:02:05.417]  On Friday, we'll be breaking that down.
[00:02:05.817 --> 00:02:07.858]  A really scary story out of the New York Post.
[00:02:07.938 --> 00:02:16.480]  Top-level insiders are dumping their stock at a record level, the highest level we've seen in the last 20-plus years.
[00:02:16.780 --> 00:02:23.182]  We'll be breaking down what that has meant to the economy and the stock market in the past when we see this type of mass selling.
[00:02:23.662 --> 00:02:27.263]  Also, the United Nations, this other London Telegraph, has downgraded
[00:02:28.403 --> 00:02:29.003]  We're good to go.
[00:02:48.539 --> 00:02:57.847]  Climate change happening but that is due to mainly the sun heating up so we'll go over some of the science they're having now admit to that and address that.
[00:02:58.248 --> 00:03:01.250]  Also the FDA rejects new limits on mercury in vaccines.
[00:03:01.270 --> 00:03:06.215]  That's right you were told the last five years in a big national PR campaign that mercury has been removed.
[00:03:06.595 --> 00:03:11.800]  Contrary to being removed it's been massively increased so we'll get into that for you as well.
[00:03:11.820 --> 00:03:14.422]  I also want to tell you the news behind the news on the Iraq
[00:03:14.862 --> 00:03:17.224]  Study group, a group of whitewashing liars.
[00:03:17.564 --> 00:03:19.046]  Meet the new boss, same as the old boss.
[00:03:19.066 --> 00:03:25.351]  They're putting the whole debate, trying to depoliticize it into this process, which is meant to make you forget about the war.
[00:03:25.391 --> 00:03:26.151]  It's not going to work.
[00:03:26.652 --> 00:03:29.354]  I'll also talk about comprehensive annual financial reports.
[00:03:29.674 --> 00:03:35.139]  The fact that every county, city, state, federal government are running giant secret surpluses.
[00:03:35.179 --> 00:03:37.100]  Well, that is an open secret.
[00:03:37.120 --> 00:03:40.963]  The public doesn't know about it, but it's publicly available information.
[00:03:41.244 --> 00:03:42.625]  Huge economic news there.
[00:03:42.905 --> 00:03:44.206]  We'll be covering a little bit later.
[00:03:45.003 --> 00:03:47.984]  Now, I don't normally get butterflies when I'm on the air.
[00:03:48.724 --> 00:03:59.706]  I have been doing three hours a day, five days a week on the radio since 1998, and at many points in my radio career I've been doing dual shows per day.
[00:03:59.786 --> 00:04:01.966]  Now I do a broadcast on Sundays.
[00:04:02.506 --> 00:04:05.707]  I have done over 4,000 radio interviews in the last six years.
[00:04:06.227 --> 00:04:09.887]  I'll be on Coast to Coast AM for three hours coming up Tuesday night.
[00:04:10.107 --> 00:04:12.168]  Just a plug there for George Norrie's great program.
[00:04:12.508 --> 00:04:14.248]  My point is I don't normally get butterflies.
[00:04:14.804 --> 00:04:15.625]  I've got butterflies.
