[00:00:00.129 --> 00:00:00.569]  D.I.C.
[00:00:01.249 --> 00:00:07.552]  Prepare yourself for a talk radio experience like no other.
[00:00:08.512 --> 00:00:10.353]  Strap yourselves in and hold on.
[00:00:11.053 --> 00:00:12.714]  He stands for truth.
[00:00:12.994 --> 00:00:14.135]  Defending our borders.
[00:00:14.155 --> 00:00:16.235]  He stands for justice.
[00:00:16.396 --> 00:00:17.656]  Fighting the American Union.
[00:00:17.696 --> 00:00:19.797]  He stands for what's right.
[00:00:19.817 --> 00:00:22.278]  This is explosive talk radio.
[00:00:22.598 --> 00:00:24.779]  This is the Alex Jones Show.
[00:00:25.680 --> 00:00:26.781]  Call Alex now.
[00:00:26.821 --> 00:00:28.822]  Toll free at 877-590-5525.
[00:00:28.902 --> 00:00:36.346]  Now, live from Austin, Texas, here's Alex Jones.
[00:00:41.549 --> 00:00:42.450]  Welcome, my friends.
[00:00:42.510 --> 00:00:46.652]  Thank you so much for joining us on this live Sunday edition.
[00:00:46.692 --> 00:00:48.613]  We're here every Sunday from 4 to 6 p.m.
[00:00:49.054 --> 00:00:50.294]  Central Standard Time.
[00:00:50.314 --> 00:00:50.835]  That's 5 to 7 p.m.
[00:00:50.855 --> 00:00:51.415]  Eastern, 2 to 4 p.m.
[00:00:51.455 --> 00:00:51.675]  Pacific.
[00:00:56.846 --> 00:00:58.007]  And we're not going to have any guests today.
[00:00:58.067 --> 00:01:12.513]  We've got a ton of important news here domestically in the United States and globally with North Korea, Iraq, really in a state of civil war right now, the midterm elections hurtling toward us early next month.
[00:01:16.375 --> 00:01:20.297]  This is the second, well, syndicated...
[00:01:21.101 --> 00:01:21.661]  We're good to go.
[00:01:42.089 --> 00:01:47.672]  We also have KGEZ The Edge Z600 out of Kalispell, Montana.
[00:01:48.432 --> 00:01:49.293]  WLUV 1520.
[00:01:50.033 --> 00:01:52.014]  These are all existing affiliates.
[00:01:52.034 --> 00:01:53.475]  I pick up my syndicated show during the week.
[00:01:54.175 --> 00:01:55.796]  And that goes into Chicago.
[00:01:55.856 --> 00:01:57.256]  It's out of Loves Park, Illinois.
[00:01:57.977 --> 00:02:03.860]  And then there's KCCT 1150 AM that picks me up weekdays and re-airs it at night.
[00:02:04.660 --> 00:02:08.962]  That's an Air America radio station, but it's a privately owned station that's been carrying
[00:02:09.509 --> 00:02:11.149]  Some Air America and some local programming.
[00:02:11.610 --> 00:02:12.710]  I'm not on Air America.
[00:02:12.850 --> 00:02:14.650]  Imagine me in the middle of an Air America format.
[00:02:15.110 --> 00:02:18.131]  But they're going to be picking up the show, or have picked it up, we've been told.
[00:02:18.451 --> 00:02:20.192]  Maybe picking it up now, but for sure next week.
[00:02:20.712 --> 00:02:22.232]  And that is 11.50 a.m.
[00:02:22.252 --> 00:02:23.973]  down in Corpus Christi, Texas.
[00:02:23.993 --> 00:02:26.413]  So another Texas station there, and quite a few more.
[00:02:26.433 --> 00:02:33.415]  I've got a big list of stations that say they're going to pick it up as soon as football is over in the next two months.
[00:02:33.795 --> 00:02:34.175]  All right.
[00:02:35.629 --> 00:02:36.229]  We're to start.
[00:02:36.269 --> 00:02:41.753]  I mean, I am totally overwhelmed here with news that I want to cover and go over.
[00:02:42.614 --> 00:02:44.775]  Normally the broadcast is not about Alex Jones.
[00:02:45.555 --> 00:02:46.255]  We're good to go.
[00:02:46.295 --> 00:02:46.515]  I think?
[00:03:15.761 --> 00:03:21.728]  Also, I interviewed Stan Jones who's running for Senate in Montana.
[00:03:22.569 --> 00:03:41.479]  And he was on C-SPAN and made national headlines with a speech he gave that we're going to air just a few minutes of, coming up later in the second hour, where he broke down the treason, the terrorism committed by our government, and how the United States is being dissolved into the North American Union, how the borders are being dissolved, and how that is treason.
[00:03:41.959 --> 00:03:46.882]  So we'll be playing a clip from C-SPAN of Stan Jones giving this historic speech.
[00:03:48.366 --> 00:03:52.770]  And I got a bizarre phone call Thursday that sounded just like George Bush.
[00:03:52.790 --> 00:03:58.594]  It obviously wasn't clips from other George Bush speeches that had been edited together.
[00:03:58.634 --> 00:04:00.296]  It sounded like it had been done over the telephone.
[00:04:00.336 --> 00:04:01.777]  It sounds just like George Bush.
[00:04:02.137 --> 00:04:06.160]  And I said there's only one or two top comedians that are this good.
[00:04:07.542 --> 00:04:11.044]  It sounds literally 99.9% George Bush.
[00:04:11.405 --> 00:04:16.569]  On a normal day, it sounds like the person was overdoing it a little bit, like a couple of these comedians do.
[00:04:17.808 --> 00:04:20.629]  But Bush someday overdoes his voice inflections.
[00:04:21.049 --> 00:04:22.849]  And my wife's like, this is George Bush.
[00:04:22.909 --> 00:04:24.909]  But I do a lot of audio stuff, a lot of video stuff.
[00:04:25.189 --> 00:04:25.909]  I work with a lot of audio.
[00:04:25.929 --> 00:04:29.630]  And I said, you know, it's a real person calling us over a telephone.
[00:04:29.970 --> 00:04:31.870]  It's not edited from real George Bush clips.
[00:04:32.110 --> 00:04:33.731]  But it's probably a top comedian.
[00:04:33.751 --> 00:04:36.751]  Well, the mystery was solved this morning.
[00:04:36.771 --> 00:04:40.312]  And I'm going to be getting the individual on the radio show.
[00:04:40.692 --> 00:04:46.333]  Later in the second hour, we will play the phone call to my unlisted telephone number.
[00:04:48.190 --> 00:04:51.553]  Of what could probably pass a voice print of George Bush.
[00:04:51.733 --> 00:04:52.834]  Is it George Bush?
[00:04:53.314 --> 00:04:54.175]  We will let you know.
[00:04:54.235 --> 00:04:55.215]  Now, let's be clear.
[00:04:55.255 --> 00:04:56.757]  I did confront Ashcroft this week.
[00:04:57.697 --> 00:04:59.278]  And I did.
[00:04:59.299 --> 00:05:01.740]  I got talked about by Rush Limbaugh this week.
[00:05:01.760 --> 00:05:03.462]  So those two stories coming up are real.
[00:05:04.442 --> 00:05:06.504]  Limbaugh has mentioned me once before.
[00:05:07.341 --> 00:05:07.841]  We're good to go.
[00:05:07.861 --> 00:05:08.402]  We're good to go.
[00:05:35.445 --> 00:05:40.567]  I then went deeper down the rabbit hole and discovered both parties were totally controlled.
[00:05:43.188 --> 00:05:45.428]  I'm not here knocking Rush Limbaugh.
[00:05:45.448 --> 00:05:49.230]  He can savage me as Savage does and as Neil Bortz does.
[00:05:50.050 --> 00:05:52.991]  Some of us are just more conservative and I understand that he's jealous.
[00:05:53.710 --> 00:05:55.271]  I mean, I seriously understand that.
[00:05:55.612 --> 00:06:07.661]  And I understand that they're threatened by the fact that I don't like Bush being for total amnesty and total open borders and North American Union and spending more money than all presidents perform combined and tripling the size of the BATF and signing on to all these UN treaties like UNESCO to regulate our country.
[00:06:07.881 --> 00:06:08.381]  I understand.
[00:06:08.842 --> 00:06:09.302]  I understand.
[00:06:09.642 --> 00:06:12.084]  But listen, I'm the new wave here, okay?
[00:06:12.284 --> 00:06:13.705]  I'm actually for the guns.
[00:06:13.986 --> 00:06:15.287]  I'm actually for the border.
[00:06:15.487 --> 00:06:16.868]  I'm actually for this country.
[00:06:17.388 --> 00:06:19.091]  And I am not a Republican.
[00:06:19.151 --> 00:06:20.572]  I am a constitutionalist.
[00:06:20.893 --> 00:06:21.814]  I am a patriot.
[00:06:22.034 --> 00:06:24.297]  A fire-breathing patriot.
[00:06:24.938 --> 00:06:27.641]  And so we're going to be playing that later in the show.
[00:06:29.133 --> 00:06:30.054]  Just a few minutes, Clevin.
[00:06:30.074 --> 00:06:32.857]  We'll analyze it and unspin the spin.
[00:06:32.877 --> 00:06:41.285]  I think maybe he was confused, and so we'll try to help unconfuse his lordship, the undisputed king of all media.
[00:06:41.585 --> 00:06:47.351]  Somebody else claims that, but really, Limbaugh has more listeners than ABC Nightly News.
[00:06:48.061 --> 00:06:48.502]  We're good to go.
[00:07:06.053 --> 00:07:12.496]  Hanging on and even growing are, in the quote old media, George Norrie, Rush Limbaugh, and a few other national talk show hosts.
[00:07:12.716 --> 00:07:17.739]  They're the only people that still have mega, massive, old-size audiences.
[00:07:18.139 --> 00:07:19.580]  Everything else has been fractured.
[00:07:19.940 --> 00:07:23.862]  Everything else is being wrecked right now by people like me.
[00:07:24.282 --> 00:07:26.703]  And CNN a month and a half ago had a great article.
[00:07:27.489 --> 00:07:42.561]  But moaning, admitting that they've been shredded, admitting the mainstream media is being decimated, and now they've just realized their hubris is evaporating, that they are plunging like an aircraft from 30,000 feet down towards the ground, and at about 2,000 feet they realize it's over for them.
[00:07:42.881 --> 00:07:48.005]  There's really not much they can do every year, mainstream media, other than talk radio.
[00:07:48.665 --> 00:07:50.547]  And I'm talking about Fox, too, and it's...
[00:07:52.105 --> 00:07:53.406]  It's brand of alternative.
[00:07:53.606 --> 00:07:55.167]  We're going to go through all of that.
[00:07:55.508 --> 00:08:00.211]  And they're just now starting to realize that their monopoly is broken.
[00:08:00.311 --> 00:08:01.292]  And they're fighting back.
[00:08:01.332 --> 00:08:06.776]  They're lobbying to restrict the web and not have net neutrality and not let you get to websites and do a lot of horrible things.
[00:08:06.836 --> 00:08:08.837]  But the people are going to demand it.
[00:08:08.877 --> 00:08:11.039]  It's a type of information migration.
[00:08:11.559 --> 00:08:12.780]  And you cannot stop it.
[00:08:12.840 --> 00:08:14.742]  The people have tasted freedom.
[00:08:15.402 --> 00:08:16.643]  They have tasted the truth.
[00:08:17.385 --> 00:08:24.534]  And I'm here to herald the death of the mainstream media and the birth of a thousand million flavors.
[00:08:25.195 --> 00:08:31.984]  And I'm very confident that in a truly diverse place where you truly have choice, that I'm going to clean their clocks.
[00:08:32.444 --> 00:08:33.586]  And I am cleaning their clocks.
[00:08:34.102 --> 00:08:35.043]  And that's not humorous.
[00:08:35.103 --> 00:08:36.304]  That's just the information.
[00:08:36.744 --> 00:08:38.205]  It is a great weight on my shoulders.
[00:08:38.265 --> 00:08:38.946]  It's very daunting.
[00:08:38.986 --> 00:08:43.630]  It freaks me out to realize that just one of my websites now has several million visitors a day.
[00:08:44.150 --> 00:08:45.071]  Exponentially growing.
[00:08:45.812 --> 00:08:47.273]  But that is the reality.
[00:08:47.393 --> 00:08:49.495]  So we're going to be taking your calls about the new media.
[00:08:49.855 --> 00:08:55.880]  We're going to be taking your calls about the death or the implosion of the old line media.
[00:08:55.900 --> 00:08:58.842]  We're going to be talking about all the new 9-11 information.
[00:08:58.882 --> 00:09:02.465]  Now let me give you the big news of the day and then we'll go to break and come back and get into all of it.
[00:09:02.505 --> 00:09:03.526]  Oh yes, there's going to be news.
[00:09:05.003 --> 00:09:05.764]  We're good to go.
[00:09:35.308 --> 00:09:36.868]  And how Bush and his cronies armed him.
[00:09:36.948 --> 00:09:39.909]  I'm hoping you don't find out about that, along with the Democrats, the traitors.
[00:09:39.929 --> 00:09:40.949]  And we'll get into it.
[00:09:40.989 --> 00:09:44.910]  Lord Lindbaugh attacks Democratic kook Alex Jones on plane crash theory.
[00:09:44.930 --> 00:09:47.291]  If I'm a Democrat, Bubba, you're Bill Clinton.
[00:09:47.951 --> 00:09:51.572]  And O'Reilly equates 9-11 scholars with terrorists, said they should be arrested.
[00:09:52.252 --> 00:09:57.593]  And we'll get into this local pervert who's been convicted for planting bugs under old girlfriends' houses.
[00:09:58.033 --> 00:09:58.893]  It's all coming up.
[00:09:58.993 --> 00:10:00.414]  Ultra-massive broadcast.
[00:10:00.734 --> 00:10:01.234]  Stay with us.
[00:10:03.539 --> 00:10:06.740]  It's here, after a year in production and traveling to distant lands.
[00:10:07.080 --> 00:10:09.021]  My new film, Terror Storm, is complete.
