[00:00:05.153 --> 00:00:06.455]  Big Brother.
[00:00:06.455 --> 00:00:08.237]  Mainstream media.
[00:00:08.237 --> 00:00:09.999]  Government cover-ups.
[00:00:09.999 --> 00:00:11.581]  You want answers?
[00:00:11.581 --> 00:00:13.123]  Well, so does he.
[00:00:13.123 --> 00:00:17.328]  He's Alex Jones on the GCN Radio Network.
[00:00:17.328 --> 00:00:21.393]  And now, live from Austin, Texas, Alex Jones.
[00:00:26.392 --> 00:00:28.633]  Welcome back, ladies and gentlemen.
[00:00:28.633 --> 00:00:31.713]  We're already into the second hour of this worldwide broadcast.
[00:00:31.713 --> 00:00:35.194]  Don't forget the show's here Monday through Friday from 11 a.m.
[00:00:35.194 --> 00:00:36.975]  until 2 p.m.
[00:00:36.975 --> 00:00:39.235]  Central Standard Time.
[00:00:39.235 --> 00:00:42.136]  And then back from 9 to midnight Central, re-aired from 1 a.m.
[00:00:42.136 --> 00:00:42.916]  to 4 a.m.
[00:00:42.916 --> 00:00:44.176]  at your local station.
[00:00:44.176 --> 00:00:47.137]  You listen to us on rebroadcast the show at another time.
[00:00:47.137 --> 00:00:51.218]  You can always call in during those live show times during the day and night.
[00:00:51.218 --> 00:00:55.139]  And then, of course, hear your comments made when it rebroadcasts in your area.
[00:00:57.293 --> 00:01:01.318]  I am totally blown away by the news and the developments that's unfolding.
[00:01:01.318 --> 00:01:04.642]  Everything we said is now happening, but I can't believe they're moving this quickly.
[00:01:04.642 --> 00:01:05.864]  They're desperate.
[00:01:05.864 --> 00:01:07.165]  A lot of people are waking up.
[00:01:07.165 --> 00:01:08.407]  They've showed their hand.
[00:01:08.407 --> 00:01:11.771]  They have overreached.
[00:01:11.771 --> 00:01:13.633]  A major renaissance is taking place.
[00:01:13.633 --> 00:01:15.636]  Just to recap, from Colorado,
[00:01:16.391 --> 00:01:30.736]  They are announcing federally controlled and funded checkpoints to force you to take breathalyzers and to take hair samples, assuming you've taken drugs over seven years, forcing you to incriminate yourself and violating the Fourth Amendment as well, not just the Fifth.
[00:01:30.736 --> 00:01:35.378]  We have Tom Daschle saying talk radio needs to be controlled or shut down.
[00:01:35.378 --> 00:01:37.018]  Talk back live on CNN today.
[00:01:37.018 --> 00:01:38.939]  There's too much hate on talk radio.
[00:01:38.939 --> 00:01:44.441]  Should we pull the plug on talk radio was the teaser that they aired today, airing throughout the day.
[00:01:45.856 --> 00:01:48.097]  This is developing, this is happening.
[00:01:48.097 --> 00:01:50.358]  CNN announced last night that U.S.
[00:01:50.358 --> 00:01:59.961]  Marines will be running checkpoints, have been running checkpoints, helped to stop a bank robber in North Carolina and Kentucky.
[00:01:59.961 --> 00:02:01.882]  This is from CNN.
[00:02:01.882 --> 00:02:04.463]  Again, it's not fighting terrorism, it's fighting criminals.
[00:02:04.463 --> 00:02:06.504]  See, now it moves into that, or alleged criminals.
[00:02:07.102 --> 00:02:09.923]  We've got Chuck and Chris and Roy and many, many other people holding.
[00:02:09.923 --> 00:02:12.204]  I'm going to go to you probably in the next segment.
[00:02:12.204 --> 00:02:16.746]  I know that our guest won't mind doing that because he's just here to talk about stuff and bounce ideas around with me.
[00:02:16.746 --> 00:02:29.292]  He's a good friend of mine, radio talk show host in his own right, has a large internet service company and runs InfoWars.net and Com and PrisonPlanet.com and JonesReport.com and VirginUtah.com, our five websites.
[00:02:29.292 --> 00:02:30.793]  He powers it, administers it.
[00:02:31.813 --> 00:02:40.495]  He's a great guy, and he's here to talk about the Homeland Security provisions for life in prison for any type of hacking, total surveillance grids, hooking the NSA.
[00:02:40.495 --> 00:02:51.196]  He's here joining us, and we'll come back in the next segment and go immediately, and you can pose your question to Dwayne Cooch or to Alex Jones, that's me.
[00:02:51.196 --> 00:02:52.477]  So everybody stay right there.
[00:02:52.477 --> 00:02:56.577]  Dwayne, I am shocked by how fast they're moving.
[00:02:56.577 --> 00:02:57.717]  What are you going to do, my friend?
[00:02:57.717 --> 00:03:00.778]  If you pull up to a checkpoint, they say, give me some of your hair.
[00:03:02.901 --> 00:03:06.002]  What are you going to do, DeWayne?
[00:03:06.002 --> 00:03:08.142]  Oh, really?
[00:03:08.142 --> 00:03:09.922]  I guess DeWayne's gone.
[00:03:09.922 --> 00:03:10.642]  Hey.
[00:03:10.642 --> 00:03:11.583]  Hey, are you there now?
[00:03:11.583 --> 00:03:12.263]  Yes, sir.
[00:03:12.263 --> 00:03:13.663]  Not a problem.
[00:03:13.663 --> 00:03:15.203]  Were you trying to talk there?
[00:03:15.203 --> 00:03:16.184]  That's okay.
[00:03:16.184 --> 00:03:17.804]  I'm sorry about that.
[00:03:17.804 --> 00:03:18.524]  Not at all, sir.
[00:03:18.524 --> 00:03:22.045]  Give me another few seconds to think of my response to that question.
[00:03:22.045 --> 00:03:24.025]  Well, it's good to be able to get you up.
[00:03:24.025 --> 00:03:25.365]  Go ahead.
[00:03:25.365 --> 00:03:27.086]  Great way to bring someone on, too.
[00:03:27.086 --> 00:03:28.426]  That's a good question.
[00:03:30.125 --> 00:03:33.728]  That's kind of funny, but what we're talking about is deadly serious.
